,date,breadth,stocks_above_ma,valid_stocks
0,2024-07-05,47.58064516129033,236,496
1,2024-07-08,48.58870967741936,241,496
2,2024-07-09,47.983870967741936,238,496
3,2024-07-10,53.62903225806451,266,496
4,2024-07-11,63.50806451612904,315,496
5,2024-07-12,69.95967741935483,347,496
6,2024-07-15,69.95967741935483,347,496
7,2024-07-16,77.62096774193549,385,496
8,2024-07-17,76.61290322580645,380,496
9,2024-07-18,71.57258064516128,355,496
10,2024-07-19,66.33064516129032,329,496
11,2024-07-22,69.75806451612904,346,496
12,2024-07-23,67.54032258064517,335,496
13,2024-07-24,60.88709677419355,302,496
14,2024-07-25,63.306451612903224,314,496
15,2024-07-26,69.75806451612904,346,496
16,2024-07-29,68.95161290322581,342,496
17,2024-07-30,70.16129032258065,348,496
18,2024-07-31,73.18548387096774,363,496
19,2024-08-01,63.91129032258065,317,496
20,2024-08-02,55.64516129032258,276,496
21,2024-08-05,44.75806451612903,222,496
22,2024-08-06,50.0,248,496
23,2024-08-07,45.96774193548387,228,496
24,2024-08-08,54.83870967741935,272,496
25,2024-08-09,58.87096774193549,292,496
26,2024-08-12,53.83064516129033,267,496
27,2024-08-13,60.483870967741936,300,496
28,2024-08-14,60.88709677419355,302,496
29,2024-08-15,68.14516129032258,338,496
30,2024-08-16,69.55645161290323,345,496
31,2024-08-19,72.58064516129032,360,496
32,2024-08-20,70.36290322580645,349,496
33,2024-08-21,73.99193548387096,367,496
34,2024-08-22,72.98387096774194,362,496
35,2024-08-23,79.43548387096774,394,496
36,2024-08-26,77.41935483870968,384,496
37,2024-08-27,76.61290322580645,380,496
38,2024-08-28,77.01612903225806,382,496
39,2024-08-29,78.42741935483872,389,496
40,2024-08-30,81.04838709677419,402,496
41,2024-09-02,81.04838709677419,402,496
42,2024-09-03,71.7741935483871,356,496
43,2024-09-04,71.57258064516128,355,496
44,2024-09-05,67.74193548387096,336,496
45,2024-09-06,61.49193548387096,305,496
46,2024-09-09,66.93548387096774,332,496
47,2024-09-10,65.7258064516129,326,496
48,2024-09-11,65.92741935483872,327,496
49,2024-09-12,69.75806451612904,346,496
50,2024-09-13,73.79032258064517,366,496
51,2024-09-16,76.20967741935483,378,496
52,2024-09-17,78.42741935483872,389,496
53,2024-09-18,74.39516129032258,369,496
54,2024-09-19,82.45967741935483,409,496
55,2024-09-20,79.43548387096774,394,496
56,2024-09-23,80.64516129032258,400,496
57,2024-09-24,80.84677419354838,401,496
58,2024-09-25,76.81451612903226,381,496
59,2024-09-26,82.25806451612904,408,496
60,2024-09-27,82.66129032258065,410,496
61,2024-09-30,81.85483870967742,406,496
62,2024-10-01,77.82258064516128,386,496
63,2024-10-02,76.81451612903226,381,496
64,2024-10-03,73.03822937625755,363,497
65,2024-10-04,76.45875251509054,380,497
66,2024-10-07,71.0261569416499,353,497
67,2024-10-08,72.63581488933602,361,497
68,2024-10-09,76.45875251509054,380,497
69,2024-10-10,72.43460764587525,360,497
70,2024-10-11,78.06841046277665,388,497
71,2024-10-14,81.89134808853119,407,497
72,2024-10-15,79.07444668008048,393,497
73,2024-10-16,79.87927565392354,397,497
74,2024-10-17,76.45875251509054,380,497
75,2024-10-18,79.47686116700201,395,497
76,2024-10-21,75.0503018108652,373,497
77,2024-10-22,70.02012072434609,348,497
78,2024-10-23,68.41046277665997,340,497
79,2024-10-24,65.99597585513078,328,497
80,2024-10-25,62.776659959758554,312,497
81,2024-10-28,65.79476861167002,327,497
82,2024-10-29,61.3682092555332,305,497
83,2024-10-30,60.160965794768615,299,497
84,2024-10-31,55.13078470824949,274,497
85,2024-11-01,53.52112676056338,266,497
86,2024-11-04,53.72233400402414,267,497
87,2024-11-05,59.55734406438632,296,497
88,2024-11-06,65.59356136820925,326,497
89,2024-11-07,66.19718309859155,329,497
90,2024-11-08,67.20321931589537,334,497
91,2024-11-11,66.59959758551308,331,497
92,2024-11-12,62.37424547283702,310,497
93,2024-11-13,63.581488933601605,316,497
94,2024-11-14,60.56338028169014,301,497
95,2024-11-15,56.74044265593562,282,497
96,2024-11-18,58.752515090543255,292,497
97,2024-11-19,56.53923541247485,281,497
98,2024-11-20,57.947686116700204,288,497
99,2024-11-21,57.947686116700204,288,497
