Price,Adj Close,Close,High,Low,Open,Volume
Ticker,FRT,FRT,FRT,FRT,FRT,FRT
Date,,,,,,
2024-09-24 00:00:00+00:00,113.8699951171875,114.97000122070312,115.5999984741211,114.01000213623047,114.01000213623047,681800
2024-09-25 00:00:00+00:00,113.721435546875,114.81999969482422,115.26000213623047,114.5999984741211,115.11000061035156,494500
2024-09-26 00:00:00+00:00,112.54281616210938,113.62999725341797,115.04000091552734,113.08999633789062,114.86000061035156,434900
2024-09-27 00:00:00+00:00,113.28563690185547,114.37999725341797,114.94999694824219,113.58000183105469,114.56999969482422,410000
2024-09-30 00:00:00+00:00,113.8699951171875,114.97000122070312,114.9800033569336,113.4000015258789,114.2300033569336,719700
2024-10-01 00:00:00+00:00,113.41000366210938,113.41000366210938,114.43000030517578,112.7300033569336,114.27999877929688,597500
2024-10-02 00:00:00+00:00,111.16000366210938,111.16000366210938,113.1500015258789,111.05000305175781,112.66999816894531,994300
2024-10-03 00:00:00+00:00,111.58999633789062,111.58999633789062,111.69999694824219,110.52999877929688,111.0999984741211,419300
2024-10-04 00:00:00+00:00,111.3499984741211,111.3499984741211,111.94999694824219,110.19999694824219,111.19000244140625,351600
2024-10-07 00:00:00+00:00,110.26000213623047,110.26000213623047,110.98999786376953,109.97000122070312,110.68000030517578,411400
2024-10-08 00:00:00+00:00,109.6500015258789,109.6500015258789,110.79000091552734,109.41000366210938,110.6500015258789,580400
2024-10-09 00:00:00+00:00,111.58999633789062,111.58999633789062,111.9000015258789,109.7699966430664,109.7699966430664,564200
2024-10-10 00:00:00+00:00,110.41000366210938,110.41000366210938,111.66000366210938,110.05999755859375,111.37999725341797,675700
2024-10-11 00:00:00+00:00,111.44999694824219,111.44999694824219,111.61000061035156,110.76000213623047,110.86000061035156,394900
2024-10-14 00:00:00+00:00,111.52999877929688,111.52999877929688,112.05999755859375,110.6500015258789,111.27999877929688,460500
2024-10-15 00:00:00+00:00,113.18000030517578,113.18000030517578,114.18000030517578,111.88999938964844,112.02999877929688,511400
2024-10-16 00:00:00+00:00,113.5,113.5,114.02999877929688,113.05999755859375,113.05999755859375,422800
2024-10-17 00:00:00+00:00,113.33999633789062,113.33999633789062,113.54000091552734,112.5999984741211,113.11000061035156,366200
2024-10-18 00:00:00+00:00,114.33999633789062,114.33999633789062,114.55999755859375,112.69999694824219,113.29000091552734,430300
2024-10-21 00:00:00+00:00,113.22000122070312,113.22000122070312,113.93000030517578,112.72000122070312,113.87000274658203,645200
2024-10-22 00:00:00+00:00,114.36000061035156,114.36000061035156,114.62000274658203,112.69000244140625,113.04000091552734,415400
2024-10-23 00:00:00+00:00,114.43000030517578,114.43000030517578,115.29000091552734,113.95999908447266,114.04000091552734,415700
2024-10-24 00:00:00+00:00,113.91999816894531,113.91999816894531,115.3499984741211,113.79000091552734,114.69999694824219,425400
2024-10-25 00:00:00+00:00,112.3499984741211,112.3499984741211,114.37000274658203,112.30999755859375,114.33000183105469,496600
2024-10-28 00:00:00+00:00,113.23999786376953,113.23999786376953,113.91999816894531,112.93000030517578,112.93000030517578,361600
2024-10-29 00:00:00+00:00,112.8499984741211,112.8499984741211,113.73999786376953,112.41000366210938,113.16999816894531,633700
2024-10-30 00:00:00+00:00,114.25,114.25,114.73999786376953,113.12000274658203,113.12000274658203,712400
2024-10-31 00:00:00+00:00,110.83999633789062,110.83999633789062,114.45999908447266,110.79000091552734,111.01000213623047,1361100
2024-11-01 00:00:00+00:00,110.43000030517578,110.43000030517578,112.58000183105469,110.19000244140625,111.5,571400
2024-11-04 00:00:00+00:00,111.41999816894531,111.41999816894531,111.58000183105469,110.23999786376953,110.5,746000
2024-11-05 00:00:00+00:00,113.7300033569336,113.7300033569336,113.83999633789062,110.47000122070312,110.86000061035156,702700
2024-11-06 00:00:00+00:00,113.12000274658203,113.12000274658203,115.5,111.73999786376953,115.01000213623047,951500
2024-11-07 00:00:00+00:00,113.63999938964844,113.63999938964844,114.29000091552734,112.9000015258789,113.25,677400
2024-11-08 00:00:00+00:00,114.3499984741211,114.3499984741211,115.02999877929688,113.68000030517578,114.22000122070312,721900
2024-11-11 00:00:00+00:00,114.86000061035156,114.86000061035156,116.16999816894531,114.37000274658203,114.62000274658203,705100
2024-11-12 00:00:00+00:00,113.6500015258789,113.6500015258789,115.62999725341797,113.62000274658203,115.16000366210938,433900
2024-11-13 00:00:00+00:00,114.06999969482422,114.06999969482422,115.11000061035156,113.80000305175781,114.77999877929688,599000
2024-11-14 00:00:00+00:00,113.37000274658203,113.37000274658203,114.51000213623047,113.3499984741211,113.8499984741211,525700
2024-11-15 00:00:00+00:00,113.54000091552734,113.54000091552734,114.2300033569336,112.26000213623047,113.20999908447266,2699300
2024-11-18 00:00:00+00:00,112.52999877929688,112.52999877929688,112.83000183105469,110.51000213623047,110.69999694824219,694500
2024-11-19 00:00:00+00:00,113.23999786376953,113.23999786376953,113.33000183105469,111.75,112.18000030517578,322300
2024-11-20 00:00:00+00:00,113.1500015258789,113.1500015258789,113.83000183105469,112.36000061035156,112.62999725341797,585100
2024-11-21 00:00:00+00:00,114.4000015258789,114.4000015258789,114.56999969482422,112.9800033569336,113.30000305175781,463400
