,date,breadth,stocks_above_ma,valid_stocks
0,2024-10-16,73.23943661971832,364,497
1,2024-10-17,68.41046277665997,340,497
2,2024-10-18,72.63581488933602,361,497
3,2024-10-21,61.3682092555332,305,497
4,2024-10-22,55.22088353413655,275,498
5,2024-10-23,50.20080321285141,250,498
6,2024-10-24,48.19277108433735,240,498
7,2024-10-25,40.963855421686745,204,498
8,2024-10-28,48.59437751004016,242,498
9,2024-10-29,43.17269076305221,215,498
10,2024-10-30,42.570281124497996,212,498
11,2024-10-31,33.734939759036145,168,498
12,2024-11-01,35.54216867469879,177,498
13,2024-11-04,33.93574297188755,169,498
14,2024-11-05,46.787148594377506,233,498
15,2024-11-06,61.24497991967871,305,498
16,2024-11-07,61.044176706827315,304,498
17,2024-11-08,63.45381526104418,316,498
18,2024-11-11,64.2570281124498,320,498
19,2024-11-12,62.24899598393574,310,498
20,2024-11-13,62.24899598393574,310,498
21,2024-11-14,58.835341365461844,293,498
22,2024-11-15,54.81927710843374,273,498
23,2024-11-18,57.63052208835341,287,498
24,2024-11-19,54.81927710843374,273,498
25,2024-11-20,53.6144578313253,267,498
26,2024-11-21,66.26506024096386,330,498
27,2024-11-22,71.4859437751004,356,498
28,2024-11-25,71.4859437751004,356,498
29,2024-11-26,71.4859437751004,356,498
