,date,breadth,stocks_above_ma,valid_stocks
0,2024-07-05,45.16129032258064,224,496
1,2024-07-08,48.58870967741936,241,496
2,2024-07-09,46.57258064516129,231,496
3,2024-07-10,58.66935483870967,291,496
4,2024-07-11,76.20967741935483,378,496
5,2024-07-12,81.25,403,496
6,2024-07-15,78.2258064516129,388,496
7,2024-07-16,84.67741935483872,420,496
8,2024-07-17,79.83870967741935,396,496
9,2024-07-18,74.79838709677419,371,496
10,2024-07-19,68.95161290322581,342,496
11,2024-07-22,75.40322580645162,374,496
12,2024-07-23,69.95967741935483,347,496
13,2024-07-24,58.266129032258064,289,496
14,2024-07-25,60.08064516129033,298,496
15,2024-07-26,67.13709677419355,333,496
16,2024-07-29,66.93548387096774,332,496
17,2024-07-30,66.12903225806451,328,496
18,2024-07-31,67.74193548387096,336,496
19,2024-08-01,58.06451612903226,288,496
20,2024-08-02,49.193548387096776,244,496
21,2024-08-05,32.19315895372233,160,497
22,2024-08-06,40.44265593561368,201,497
23,2024-08-07,35.01006036217304,174,497
24,2024-08-08,46.27766599597585,230,497
25,2024-08-09,47.283702213279675,235,497
26,2024-08-12,42.25352112676056,210,497
27,2024-08-13,49.29577464788733,245,497
28,2024-08-14,52.91750503018109,263,497
29,2024-08-15,69.01408450704226,343,497
30,2024-08-16,75.25150905432596,374,497
31,2024-08-19,83.70221327967808,416,497
32,2024-08-20,78.06841046277665,388,497
33,2024-08-21,85.11066398390342,423,497
34,2024-08-22,79.47686116700201,395,497
35,2024-08-23,90.14084507042254,448,497
36,2024-08-26,90.3420523138833,449,497
37,2024-08-27,88.32997987927565,439,497
38,2024-08-28,85.91549295774648,427,497
39,2024-08-29,87.5251509054326,435,497
40,2024-08-30,91.95171026156942,457,497
41,2024-09-02,91.95171026156942,457,497
42,2024-09-03,76.65995975855131,381,497
43,2024-09-04,73.23943661971832,364,497
44,2024-09-05,63.78269617706237,317,497
45,2024-09-06,47.08249496981891,234,497
46,2024-09-09,56.53923541247485,281,497
47,2024-09-10,54.929577464788736,273,497
48,2024-09-11,52.91750503018109,263,497
49,2024-09-12,57.3440643863179,285,497
50,2024-09-13,66.19718309859155,329,497
51,2024-09-16,71.6297786720322,356,497
52,2024-09-17,70.02012072434609,348,497
53,2024-09-18,68.61167002012073,341,497
54,2024-09-19,77.66599597585513,386,497
55,2024-09-20,70.82494969818913,352,497
56,2024-09-23,76.86116700201208,382,497
57,2024-09-24,75.65392354124748,376,497
58,2024-09-25,66.59959758551308,331,497
59,2024-09-26,69.21529175050301,344,497
60,2024-09-27,73.03822937625755,363,497
61,2024-09-30,76.86116700201208,382,497
62,2024-10-01,70.82494969818913,352,497
63,2024-10-02,65.79476861167002,327,497
64,2024-10-03,56.74044265593562,282,497
65,2024-10-04,64.1851106639839,319,497
66,2024-10-07,49.094567404426556,244,497
67,2024-10-08,52.91750503018109,263,497
68,2024-10-09,59.356136820925556,295,497
69,2024-10-10,51.91146881287726,258,497
70,2024-10-11,62.17303822937625,309,497
71,2024-10-14,71.22736418511066,354,497
72,2024-10-15,68.81287726358148,342,497
73,2024-10-16,73.03822937625755,363,497
74,2024-10-17,68.2092555331992,339,497
75,2024-10-18,72.43460764587525,360,497
76,2024-10-21,61.16700201207244,304,497
77,2024-10-22,55.020080321285135,274,498
78,2024-10-23,50.20080321285141,250,498
79,2024-10-24,48.19277108433735,240,498
80,2024-10-25,40.963855421686745,204,498
81,2024-10-28,48.59437751004016,242,498
82,2024-10-29,42.971887550200805,214,498
83,2024-10-30,42.369477911646584,211,498
84,2024-10-31,33.734939759036145,168,498
85,2024-11-01,35.54216867469879,177,498
86,2024-11-04,33.93574297188755,169,498
87,2024-11-05,46.787148594377506,233,498
88,2024-11-06,61.24497991967871,305,498
89,2024-11-07,61.044176706827315,304,498
90,2024-11-08,63.45381526104418,316,498
91,2024-11-11,64.2570281124498,320,498
92,2024-11-12,62.24899598393574,310,498
93,2024-11-13,62.24899598393574,310,498
94,2024-11-14,58.835341365461844,293,498
95,2024-11-15,54.81927710843374,273,498
96,2024-11-18,57.63052208835341,287,498
97,2024-11-19,55.020080321285135,274,498
98,2024-11-20,53.6144578313253,267,498
99,2024-11-21,53.6144578313253,267,498
